,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
348,31.0,0.5,32.0,0.8,10.94365616,11.002541
349,40.0,0.5,32.0,0.8,10.94626405,11.031994
350,4.0,0.6,32.0,0.8,8.752816103,8.710287
351,13.0,0.6,32.0,0.8,11.93416432,11.8475275
352,22.0,0.6,32.0,0.8,12.41548188,12.405426
353,31.0,0.6,32.0,0.8,12.42249009,12.488865
354,40.0,0.6,32.0,0.8,12.42559427,12.494202
355,4.0,0.7,32.0,0.8,8.523139166,8.577745
356,13.0,0.7,32.0,0.8,13.01727174,13.023773
357,22.0,0.7,32.0,0.8,13.74199104,13.761098
358,31.0,0.7,32.0,0.8,13.75310995,13.827096
359,40.0,0.7,32.0,0.8,13.75743674,13.816895
360,4.0,0.2,8.0,1.0,0.005194351,0.0070275534
361,13.0,0.2,8.0,1.0,0.00520377,0.02507468
362,22.0,0.2,8.0,1.0,0.005203325,0.017059319
363,31.0,0.2,8.0,1.0,0.005233618,0.022632185
364,40.0,0.2,8.0,1.0,0.005203439,0.0269107
365,4.0,0.3,8.0,1.0,0.417064226,0.44242024
366,13.0,0.3,8.0,1.0,0.422234486,0.4377591
367,22.0,0.3,8.0,1.0,0.422212481,0.45328587
368,31.0,0.3,8.0,1.0,0.422208347,0.4672938
369,40.0,0.3,8.0,1.0,0.422230625,0.48692036
370,4.0,0.4,8.0,1.0,0.727495001,0.755679
371,13.0,0.4,8.0,1.0,0.755378989,0.7655509
372,22.0,0.4,8.0,1.0,0.75554355,0.7710778
373,31.0,0.4,8.0,1.0,0.755509769,0.77373886
374,40.0,0.4,8.0,1.0,0.755484498,0.7887135
375,4.0,0.5,8.0,1.0,1.049538753,1.0954375
376,13.0,0.5,8.0,1.0,1.128853456,1.1808306
377,22.0,0.5,8.0,1.0,1.129134553,1.1583883
378,31.0,0.5,8.0,1.0,1.129310084,1.1506582
379,40.0,0.5,8.0,1.0,0.975442284,1.0876393
380,4.0,0.6,8.0,1.0,1.673353433,1.727104
381,13.0,0.6,8.0,1.0,1.881627289,1.9922811
382,22.0,0.6,8.0,1.0,1.88236832,1.9720712
383,31.0,0.6,8.0,1.0,1.88271039,1.9579457
384,40.0,0.6,8.0,1.0,1.882797358,1.9483528
385,4.0,0.7,8.0,1.0,2.058323741,2.0872962
386,13.0,0.7,8.0,1.0,2.434295483,2.5334458
387,22.0,0.7,8.0,1.0,2.435500765,2.525824
388,31.0,0.7,8.0,1.0,2.435830599,2.518172
389,40.0,0.7,8.0,1.0,2.43614687,2.5217896
390,4.0,0.2,20.0,1.0,1.135495158,1.1827642
391,13.0,0.2,20.0,1.0,1.153691979,1.2074069
392,22.0,0.2,20.0,1.0,1.154823263,1.2106974
393,31.0,0.2,20.0,1.0,1.154497912,1.2083755
394,40.0,0.2,20.0,1.0,1.154796431,1.1953425
395,4.0,0.3,20.0,1.0,2.876141696,2.9372716
396,13.0,0.3,20.0,1.0,3.022696758,3.0777657
397,22.0,0.3,20.0,1.0,3.030978309,3.110531
398,31.0,0.3,20.0,1.0,3.031229841,3.1305683
399,40.0,0.3,20.0,1.0,3.031221164,3.0971253
400,4.0,0.4,20.0,1.0,4.131624366,4.190272
401,13.0,0.4,20.0,1.0,4.541510419,4.5878935
402,22.0,0.4,20.0,1.0,4.56548319,4.610597
403,31.0,0.4,20.0,1.0,4.566057075,4.6267986
404,40.0,0.4,20.0,1.0,4.566004683,4.6458697
405,4.0,0.5,20.0,1.0,5.09144168,5.2005076
406,13.0,0.5,20.0,1.0,5.993789007,6.0258527
407,22.0,0.5,20.0,1.0,6.044515352,6.08643
408,31.0,0.5,20.0,1.0,6.046216626,6.103738
409,40.0,0.5,20.0,1.0,6.046350665,6.1224794
410,4.0,0.6,20.0,1.0,5.651587998,5.686188
411,13.0,0.6,20.0,1.0,7.241615316,7.287999
412,22.0,0.6,20.0,1.0,7.331896907,7.417742
413,31.0,0.6,20.0,1.0,7.334862173,7.3929467
414,40.0,0.6,20.0,1.0,7.334611971,7.36616
415,4.0,0.7,20.0,1.0,5.709702894,5.7476025
416,13.0,0.7,20.0,1.0,8.03021056,8.019205
417,22.0,0.7,20.0,1.0,8.158819484,8.227712
418,31.0,0.7,20.0,1.0,8.162534778,8.206732
419,40.0,0.7,20.0,1.0,8.163555541,8.185985
420,4.0,0.2,32.0,1.0,3.387149787,3.4716878
421,13.0,0.2,32.0,1.0,3.478760569,3.5843494
422,22.0,0.2,32.0,1.0,3.490927575,3.6026402
423,31.0,0.2,32.0,1.0,3.495410668,3.6013896
424,40.0,0.2,32.0,1.0,3.49093552,3.603573
425,4.0,0.3,32.0,1.0,5.740639418,5.8132806
426,13.0,0.3,32.0,1.0,6.155668885,6.2147202
427,22.0,0.3,32.0,1.0,6.211020555,6.288091
428,31.0,0.3,32.0,1.0,6.211980336,6.3014956
429,40.0,0.3,32.0,1.0,6.21233462,6.302415
430,4.0,0.4,32.0,1.0,7.623812378,7.675009
431,13.0,0.4,32.0,1.0,8.666480319,8.655373
432,22.0,0.4,32.0,1.0,8.819711174,8.887712
433,31.0,0.4,32.0,1.0,8.823427667,8.923236
434,40.0,0.4,32.0,1.0,8.823297086,8.93515
435,4.0,0.5,32.0,1.0,8.629204675,8.621778
436,13.0,0.5,32.0,1.0,10.66452665,10.636844
437,22.0,0.5,32.0,1.0,10.98258173,10.979083
438,31.0,0.5,32.0,1.0,10.98799523,11.066861
439,40.0,0.5,32.0,1.0,10.99025726,11.087487
440,4.0,0.6,32.0,1.0,8.172973291,8.300784
441,13.0,0.6,32.0,1.0,11.16927697,11.271819
442,22.0,0.6,32.0,1.0,11.65437034,11.750242
443,31.0,0.6,32.0,1.0,11.65984705,11.781559
444,40.0,0.6,32.0,1.0,11.65470809,11.786865
445,4.0,0.7,32.0,1.0,8.003784839,8.060028
446,13.0,0.7,32.0,1.0,12.16428027,12.199849
447,22.0,0.7,32.0,1.0,12.87455078,12.931408
448,31.0,0.7,32.0,1.0,12.88459828,12.97494
449,40.0,0.7,32.0,1.0,12.91285967,13.00793
450,20.3,0.48,29.7,0.58,9.696830067,9.738307
451,31.4,0.38,22.5,0.74,5.697392645,5.657741
452,17.6,0.49,29.2,0.59,9.578765562,9.6875515
453,10.9,0.52,20.5,0.81,6.725126647,6.7594647
454,34.9,0.3,28.6,0.72,6.114272406,6.0642486
455,22.0,0.48,10.4,0.69,2.54536051,2.4547756
456,25.2,0.3,27.4,0.71,5.726594223,5.713404
457,19.4,0.28,29.1,0.7,5.728338306,5.780411
458,12.6,0.48,25.2,0.65,7.869844303,7.9735622
459,23.9,0.37,9.1,0.65,1.489010757,1.2783949
460,5.3,0.5,28.6,0.78,8.623905659,8.28117
461,9.5,0.43,28.6,0.58,8.102770766,8.341922
462,38.9,0.3,21.0,0.68,3.844414145,3.9877512
463,29.1,0.53,21.5,0.77,7.507217878,7.4416227
464,18.7,0.25,26.8,0.65,4.333833569,4.4895124
465,25.7,0.39,16.0,0.7,3.674506322,3.8017874
466,4.9,0.48,19.9,0.82,5.485416348,5.540948
